                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.9485,                  3.765,                  1.555,                0.43923,                0.10187,                0.13191,                0.03731,                 2.4204,                 2.9343,                 1.2759,                 0.0946,                 0.0006,                 0.0006
                      1,                 2.5253,                 1.9932,                 1.3328,                0.68466,                0.72973,                0.74704,                0.25406,                 2.2378,                  1.435,                 1.2104,               0.088274,              0.0012743,              0.0012743
                      2,                 2.1854,                 1.1364,                 1.1671,                0.75549,                0.79014,                0.84217,                0.34144,                 2.0498,                 1.1044,                  1.129,               0.081921,              0.0019208,              0.0019208
                      3,                 2.1185,                  1.172,                 1.1285,                0.77992,                0.83989,                0.88701,                0.36188,                 2.0129,                 1.7481,                 1.0962,                0.07554,              0.0025396,              0.0025396
                      4,                 2.0319,                 1.0642,                 1.1059,                0.78051,                0.91268,                0.89076,                0.37515,                 1.9627,                 1.9802,                 1.0761,               0.069131,              0.0031307,              0.0031307
                      5,                 2.0051,                  1.066,                 1.0963,                  0.798,                0.88565,                 0.8721,                0.35593,                  1.978,                0.89387,                 1.0742,               0.062694,              0.0036941,              0.0036941
                      6,                 2.0322,                 1.0248,                 1.0717,                0.83834,                0.88773,                0.90406,                  0.372,                 2.0103,                0.88328,                 1.0774,                0.05623,              0.0042298,              0.0042298
                      7,                 2.0121,                 1.0498,                 1.0872,                0.81187,                0.88565,                0.90213,                0.38255,                 1.9887,                0.87124,                 1.0865,               0.049738,              0.0047377,              0.0047377
                      8,                  2.081,                0.98137,                  1.095,                0.80591,                0.91892,                0.91017,                 0.3826,                 2.0493,                 1.2245,                 1.1079,               0.043218,              0.0052179,              0.0052179
                      9,                 2.1223,                0.97893,                 1.1198,                0.73955,                0.84417,                0.84325,                0.29996,                 2.1629,                 1.1982,                 1.1607,                0.03667,              0.0056704,              0.0056704
                     10,                 2.0625,                  1.064,                 1.0937,                0.78937,                 0.8711,                0.88328,                0.33586,                 2.0343,                 1.7138,                 1.1068,               0.030095,              0.0060952,              0.0060952
